id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
i1,Entire home/apt,126,2,657,8/27/2023,3.72,1,306,42,
i2,Private room,45,1,290,8/4/2023,1.77,1,0,21,
i3,Entire home/apt,57,30,122,10/17/2022,0.73,1,0,3,
i4,Entire home/apt,159,3,305,9/4/2023,2.09,1,156,17,
i5,Entire home/apt,48,4,51,5/16/2023,0.31,1,98,3,
i6,Entire home/apt,123,30,18,6/19/2023,0.12,2,162,2,
i7,Entire home/apt,107,3,15,8/18/2023,1.4,1,3,15,
i8,Entire home/apt,65,30,51,8/15/2023,0.31,1,320,3,
i9,Entire home/apt,250,1,166,1/2/2023,1.01,1,125,2,
i10,Entire home/apt,180,7,35,7/28/2021,0.21,2,51,0,
i11,Private room,33,30,39,7/14/2023,0.39,1,175,1,
i12,Entire home/apt,450,2,39,6/10/2023,0.26,1,356,4,
i13,Private room,43,30,8,8/19/2023,0.15,1,344,2,
i14,Entire home/apt,101,30,35,7/18/2023,0.22,2,270,2,
i15,Entire home/apt,106,1,1003,9/4/2023,6.49,2,306,85,
i16,Entire home/apt,154,1,224,8/15/2023,1.49,2,312,31,
i17,Entire home/apt,134,2,445,3/8/2022,2.92,1,0,0,
i18,Entire home/apt,165,2,175,2/21/2023,1.15,1,67,5,
i19,Entire home/apt,135,3,413,3/26/2023,2.71,1,0,12,
i20,Entire home/apt,297,4,44,1/4/2023,0.29,1,87,1,
i21,Entire home/apt,111,30,60,4/21/2023,0.39,2,141,3,
i22,Entire home/apt,118,2,251,11/14/2022,1.66,2,172,4,
i23,Entire home/apt,130,2,440,9/6/2023,2.89,2,230,36,
i24,Entire home/apt,125,2,228,7/21/2023,1.49,1,40,11,
i25,Entire home/apt,400,2,202,7/9/2023,1.97,1,6,14,
i26,Entire home/apt,400,2,16,5/27/2019,0.11,1,0,0,
i27,Private room,104,2,0,,,1,365,0,
i28,Entire home/apt,179,2,60,6/21/2023,0.55,1,352,15,
i29,Entire home/apt,750,4,91,10/17/2022,1.15,2,5,1,
i30,Entire home/apt,240,1,6,5/26/2019,0.04,3,0,0,
i31,Entire home/apt,75,4,22,8/6/2023,0.14,1,121,16,
i32,Private room,129,3,223,7/2/2023,1.59,1,108,18,
i33,Entire home/apt,114,2,196,7/16/2023,1.29,8,143,15,
i34,Entire home/apt,127,30,39,5/10/2023,0.31,4,90,2,
i35,Entire home/apt,168,2,142,12/31/2022,0.93,1,52,9,
i36,Entire home/apt,225,4,34,3/11/2019,0.23,2,0,0,
i37,Entire home/apt,300,2,4,5/30/2021,0.06,1,179,0,
i38,Private room,52,2,274,9/3/2023,1.88,1,336,36,
i39,Entire home/apt,81,2,16,1/3/2018,0.22,2,0,0,
i40,Entire home/apt,360,45,119,3/14/2023,0.89,12,344,3,
i41,Entire home/apt,174,1,113,3/14/2023,0.75,2,355,5,
i42,Private room,84,1,7,4/28/2023,0.05,2,359,4,
i43,Entire home/apt,98,1,278,9/4/2023,1.91,2,20,55,
i44,Entire home/apt,150,31,139,7/1/2023,0.93,2,150,2,
i45,Private room,57,7,76,6/30/2023,0.51,1,84,2,
i46,Entire home/apt,250,3,15,6/22/2023,0.17,1,150,1,
i47,Entire home/apt,126,20,101,5/31/2023,0.71,10,288,7,
i48,Entire home/apt,259,1,2,4/14/2019,0.01,3,0,0,
i49,Entire home/apt,295,3,88,7/30/2023,0.6,1,332,9,
i50,Entire home/apt,120,20,90,6/3/2023,0.62,10,305,6,
i51,Entire home/apt,127,20,98,7/29/2023,0.67,10,337,10,
i52,Entire home/apt,129,30,206,11/9/2022,1.57,1,284,1,
i53,Entire home/apt,999,4,17,6/18/2022,0.12,1,163,0,
i54,Entire home/apt,800,3,8,2/22/2022,0.05,1,352,0,
i55,Entire home/apt,249,2,371,5/30/2023,2.54,1,169,13,
i56,Entire home/apt,130,30,8,8/1/2023,0.15,2,105,3,
i57,Entire home/apt,750,2,40,3/17/2023,0.31,1,330,2,
i58,Entire home/apt,72,1,979,8/9/2023,6.72,2,229,77,
i59,Private room,200,3,15,3/17/2023,0.23,1,38,1,
i60,Entire home/apt,136,3,206,7/30/2023,1.42,1,78,16,
i61,Entire home/apt,152,2,158,8/21/2023,1.37,1,166,31,
i62,Entire home/apt,485,3,19,12/28/2022,0.15,2,36,9,
i63,Entire home/apt,67,2,105,10/31/2022,0.72,1,12,5,
i64,Private room,30,28,28,7/20/2023,0.19,1,255,1,
i65,Entire home/apt,250,2,8,10/9/2016,0.06,1,0,0,
i66,Entire home/apt,500,20,53,10/1/2017,0.37,5,230,0,
i67,Entire home/apt,108,60,115,8/13/2023,0.79,4,178,1,
i68,Entire home/apt,394,1,266,8/31/2023,1.9,9,173,29,
i69,Entire home/apt,165,20,102,8/14/2023,0.72,10,315,4,
i70,Entire home/apt,158,1,206,9/4/2023,2.07,4,202,42,
i71,Entire home/apt,49,1,776,9/2/2023,5.52,3,45,113,
i72,Entire home/apt,175,2,1,3/13/2012,0.01,1,0,0,
i73,Entire home/apt,201,2,186,8/25/2023,1.33,2,73,27,
i74,Entire home/apt,100,30,94,9/24/2021,0.65,1,0,0,
i75,Entire home/apt,525,7,6,10/31/2022,0.04,2,314,1,
i76,Entire home/apt,250,3,46,3/19/2023,0.33,1,342,6,
i77,Entire home/apt,251,1,119,5/21/2023,0.83,5,260,6,
i78,Entire home/apt,350,2,52,5/7/2023,0.37,1,158,3,
i79,Entire home/apt,86,30,30,11/4/2022,0.21,1,0,1,
i80,Entire home/apt,191,30,66,8/26/2023,0.47,2,323,2,
i81,Entire home/apt,135,2,459,9/4/2023,3.26,1,331,40,
i82,Private room,81,2,364,7/15/2023,2.57,1,313,27,
i83,Entire home/apt,80,3,182,5/29/2023,1.29,17,347,12,
i84,Entire home/apt,695,3,13,3/17/2022,0.1,1,0,0,
i85,Entire home/apt,600,3,2,3/17/2014,0.02,1,365,0,
i86,Entire home/apt,400,3,9,3/24/2015,0.06,1,0,0,
i87,Entire home/apt,321,1,316,8/15/2023,2.26,13,279,40,
i88,Entire home/apt,694,4,2,3/18/2015,0.02,1,0,0,
i89,Entire home/apt,187,2,200,9/4/2023,1.43,2,230,30,
i90,Entire home/apt,240,4,47,3/25/2018,0.34,1,0,0,
i91,Entire home/apt,178,1,361,10/25/2019,2.59,1,0,0,
i92,Entire home/apt,99,30,1,9/20/2022,0.08,2,363,1,
i93,Entire home/apt,799,3,92,9/4/2023,0.66,1,337,17,
i94,Entire home/apt,7098,30,23,6/1/2023,0.16,1,38,1,
i95,Entire home/apt,495,3,7,8/7/2022,0.05,1,346,0,
i96,Private room,68,2,604,8/27/2023,4.32,6,56,46,
i97,Private room,100,2,0,,,1,0,0,
i98,Entire home/apt,256,3,175,8/28/2023,1.32,1,283,15,
i99,Private room,102,2,171,8/17/2023,1.23,1,46,10,
i100,Entire home/apt,250,1,2,3/17/2013,0.01,1,0,0,
i101,Entire home/apt,95,28,1,3/15/2012,0.01,1,40,0,
i102,Entire home/apt,149,3,34,11/1/2022,0.24,1,173,2,
i103,Private room,80,32,33,10/6/2015,0.24,1,83,0,
i104,Entire home/apt,400,1,1,12/30/2021,0.05,1,0,0,
i105,Entire home/apt,50,30,24,3/28/2023,0.17,2,38,3,
i106,Entire home/apt,750,4,124,3/17/2019,0.89,1,0,0,
i107,Entire home/apt,178,2,198,4/24/2023,1.44,2,15,5,
i108,Private room,135,2,94,3/27/2023,0.67,1,81,8,
i109,Entire home/apt,104,1,369,8/27/2023,2.64,2,154,35,
i110,Private room,44,31,3,2/13/2020,0.05,1,335,0,
i111,Entire home/apt,99,1,262,9/4/2023,1.87,1,266,16,
i112,Entire home/apt,47,30,37,7/31/2023,0.26,1,128,7,
i113,Entire home/apt,299,3,8,11/3/2019,0.06,2,0,0,
i114,Entire home/apt,209,3,196,9/3/2023,1.54,1,79,43,
i115,Entire home/apt,165,2,307,8/8/2023,2.22,2,268,31,
i116,Entire home/apt,125,2,29,3/1/2020,0.21,1,0,0,
i117,Entire home/apt,525,1,67,7/2/2023,0.48,3,80,4,
i118,Entire home/apt,643,5,1,3/18/2012,0.01,1,0,0,
i119,Entire home/apt,121,1,857,8/26/2023,6.13,8,333,80,
i120,Private room,72,1,71,10/23/2022,0.58,2,25,1,
i121,Entire home/apt,825,3,6,11/4/2014,0.04,1,0,0,
i122,Private room,75,1,0,,,1,0,0,
i123,Entire home/apt,575,3,209,6/11/2023,1.81,1,250,12,
i124,Entire home/apt,225,3,1,3/15/2012,0.01,1,0,0,
i125,Entire home/apt,125,1,404,9/4/2023,2.89,2,312,39,
i126,Entire home/apt,630,3,5,3/15/2017,0.04,1,0,0,
i127,Entire home/apt,248,3,11,7/5/2017,0.08,1,0,0,
i128,Entire home/apt,110,30,21,5/2/2021,0.15,1,0,0,
i129,Entire home/apt,1000,1,3,3/19/2017,0.02,1,365,0,
i130,Entire home/apt,100,1,0,,,1,0,0,
i131,Entire home/apt,97,2,14,11/29/2021,0.1,1,0,0,
i132,Entire home/apt,1050,30,2,6/1/2013,0.01,1,0,0,
i133,Entire home/apt,300,2,1,11/20/2012,0.01,1,0,0,
