neighborhood_id,neighborhood,latitude,longitude
1,78702,30.26057,-97.73441
2,78729,30.45697,-97.78422
3,78704,30.24885,-97.73587
4,78704,30.26034,-97.76487
5,78741,30.23466,-97.73682
6,78702,30.26098,-97.73072
7,78745,30.19756,-97.78754
8,78741,30.23614,-97.73225
9,78703,30.28074,-97.75381
10,78757,30.33771,-97.73708
11,78727,30.42895,-97.68958
12,78731,30.35123,-97.76207
13,78758,30.37783,-97.70749
14,78705,30.28588,-97.75145
15,78704,30.25756,-97.76995
16,78704,30.26146,-97.77276
17,78704,30.2309,-97.76619
18,78704,30.24648,-97.74913
19,78731,30.313,-97.75066
20,78727,30.41419,-97.73183
21,78705,30.29016,-97.74478
22,78704,30.24473,-97.77923
23,78703,30.29033,-97.76886
24,78722,30.29192,-97.71939
25,78702,30.26945,-97.72491
26,78702,30.25505,-97.72552
27,78733,30.33877,-97.882
28,78704,30.25023,-97.77985
29,78704,30.25659,-97.76772
30,78701,30.27672,-97.74799
31,78702,30.27443,-97.71135
32,78702,30.27011,-97.72693
33,78704,30.26126,-97.77358
34,78723,30.30933,-97.6952
35,78704,30.24948,-97.75896
36,78702,30.26035,-97.73253
37,78723,30.30393,-97.68872
38,78752,30.32395,-97.71851
39,78705,30.29386,-97.74188
40,78757,30.35681,-97.72618
41,78704,30.24498,-97.74935
42,78704,30.24574,-97.74828
43,78704,30.25453507,-97.77675651
44,78704,30.24645,-97.74701
45,78745,30.20276,-97.82506
46,78703,30.28267332,-97.76861988
47,78751,30.3027,-97.72945
48,78701,30.27521,-97.74793
49,78736,30.24309,-98.0028
50,78751,30.30215,-97.73046
51,78751,30.30397,-97.73037
52,78705,30.30203,-97.74235
53,78704,30.25288,-97.78491
54,78746,30.27767,-97.79126
55,78752,30.33238,-97.71233
56,78704,30.24106,-97.77315
57,78704,30.25775,-97.76703
58,78704,30.24867,-97.74678
59,78703,30.276272,-97.757103
60,78741,30.24434,-97.73069
61,78702,30.263203,-97.699829
62,78704,30.2527,-97.74385
63,78704,30.25175,-97.77242
64,78754,30.36145,-97.64397
65,78704,30.24519,-97.74486
66,78702,30.25753,-97.7313
67,78751,30.30732,-97.72782
68,78704,30.247942,-97.749763
69,78751,30.30289,-97.72961
70,78704,30.252,-97.75628
71,78702,30.25424,-97.72587
72,78723,30.30339,-97.68465
73,78702,30.25572,-97.72874
74,78704,30.23254,-97.75479
75,78703,30.2786541,-97.75550842
76,78704,30.25367,-97.77253
77,78703,30.28332,-97.76272
78,78702,30.28032,-97.70708
79,78758,30.36774,-97.7078
80,78745,30.19037,-97.79003
81,78704,30.25508,-97.75767
82,78702,30.2733,-97.7269
83,78745,30.20943,-97.77117
84,78702,30.25688,-97.73244
85,78745,30.21467,-97.77901
86,78704,30.25472,-97.75562
87,78702,30.26585,-97.73328
88,78702,30.25328,-97.72968
89,78724,30.28354,-97.64966
90,78702,30.26849,-97.71874
91,78701,30.26843,-97.74548
92,78705,30.29905,-97.73881
93,78704,30.24583,-97.75472
94,78756,30.32665062,-97.74362183
95,78746,30.30085,-97.80794
96,78702,30.27232,-97.72579
97,78725,30.23911,-97.58625
98,78703,30.31267,-97.76641
99,78704,30.25381,-97.75262
100,78741,30.24481,-97.72379
101,78704,30.23841,-97.74402
102,78741,30.24026,-97.73338
103,78759,30.42035,-97.76685
104,78746,30.25937,-97.79249
105,78757,30.33061,-97.72531
106,78702,30.26543,-97.71338
107,78704,30.24746,-97.75662
108,78704,30.24623,-97.75904
