id,number_of_reviews,last_review,reviews_per_month,number_of_reviews_ltm
1,657,8/27/23,3.72,42
2,290,8/4/23,1.77,21
3,122,10/17/22,0.73,3
4,305,9/4/23,2.09,17
5,51,5/16/23,0.31,3
6,18,6/19/23,0.12,2
7,15,8/18/23,1.4,15
8,51,8/15/23,0.31,3
9,166,1/2/23,1.01,2
10,35,7/28/21,0.21,0
11,39,7/14/23,0.39,1
12,39,6/10/23,0.26,4
13,8,8/19/23,0.15,2
14,35,7/18/23,0.22,2
15,1003,9/4/23,6.49,85
16,224,8/15/23,1.49,31
17,445,3/8/22,2.92,0
18,175,2/21/23,1.15,5
19,413,3/26/23,2.71,12
20,44,1/4/23,0.29,1
21,60,4/21/23,0.39,3
22,251,11/14/22,1.66,4
23,440,9/6/23,2.89,36
24,228,7/21/23,1.49,11
25,202,7/9/23,1.97,14
26,16,5/27/19,0.11,0
27,0,,,0
28,60,6/21/23,0.55,15
29,91,10/17/22,1.15,1
30,6,5/26/19,0.04,0
31,22,8/6/23,0.14,16
32,223,7/2/23,1.59,18
33,196,7/16/23,1.29,15
34,39,5/10/23,0.31,2
35,142,12/31/22,0.93,9
36,34,3/11/19,0.23,0
37,4,5/30/21,0.06,0
38,274,9/3/23,1.88,36
39,16,1/3/18,0.22,0
40,119,3/14/23,0.89,3
41,113,3/14/23,0.75,5
42,7,4/28/23,0.05,4
43,278,9/4/23,1.91,55
44,139,7/1/23,0.93,2
45,76,6/30/23,0.51,2
46,15,6/22/23,0.17,1
47,101,5/31/23,0.71,7
48,2,4/14/19,0.01,0
49,88,7/30/23,0.6,9
50,90,6/3/23,0.62,6
51,98,7/29/23,0.67,10
52,206,11/9/22,1.57,1
53,17,6/18/22,0.12,0
54,8,2/22/22,0.05,0
55,371,5/30/23,2.54,13
56,8,8/1/23,0.15,3
57,40,3/17/23,0.31,2
58,979,8/9/23,6.72,77
59,15,3/17/23,0.23,1
60,206,7/30/23,1.42,16
61,158,8/21/23,1.37,31
62,19,12/28/22,0.15,9
63,105,10/31/22,0.72,5
64,28,7/20/23,0.19,1
65,8,10/9/16,0.06,0
66,53,10/1/17,0.37,0
67,115,8/13/23,0.79,1
68,266,8/31/23,1.9,29
69,102,8/14/23,0.72,4
70,206,9/4/23,2.07,42
71,776,9/2/23,5.52,113
72,1,3/13/12,0.01,0
73,186,8/25/23,1.33,27
74,94,9/24/21,0.65,0
75,6,10/31/22,0.04,1
76,46,3/19/23,0.33,6
77,119,5/21/23,0.83,6
78,52,5/7/23,0.37,3
79,30,11/4/22,0.21,1
80,66,8/26/23,0.47,2
81,459,9/4/23,3.26,40
82,364,7/15/23,2.57,27
83,182,5/29/23,1.29,12
84,13,3/17/22,0.1,0
85,2,3/17/14,0.02,0
86,9,3/24/15,0.06,0
87,316,8/15/23,2.26,40
88,2,3/18/15,0.02,0
89,200,9/4/23,1.43,30
90,47,3/25/18,0.34,0
91,361,10/25/19,2.59,0
92,1,9/20/22,0.08,1
93,92,9/4/23,0.66,17
94,23,6/1/23,0.16,1
95,7,8/7/22,0.05,0
96,604,8/27/23,4.32,46
97,0,,,0
98,175,8/28/23,1.32,15
99,171,8/17/23,1.23,10
100,2,3/17/13,0.01,0
101,1,3/15/12,0.01,0
102,34,11/1/22,0.24,2
103,33,10/6/15,0.24,0
104,1,12/30/21,0.05,0
105,24,3/28/23,0.17,3
106,124,3/17/19,0.89,0
107,198,4/24/23,1.44,5
108,94,3/27/23,0.67,8
109,369,8/27/23,2.64,35
110,3,2/13/20,0.05,0
111,262,9/4/23,1.87,16
112,37,7/31/23,0.26,7
113,8,11/3/19,0.06,0
114,196,9/3/23,1.54,43
115,307,8/8/23,2.22,31
116,29,3/1/20,0.21,0
117,67,7/2/23,0.48,4
118,1,3/18/12,0.01,0
119,857,8/26/23,6.13,80
120,71,10/23/22,0.58,1
121,6,11/4/14,0.04,0
122,0,,,0
123,209,6/11/23,1.81,12
124,1,3/15/12,0.01,0
125,404,9/4/23,2.89,39
126,5,3/15/17,0.04,0
127,11,7/5/17,0.08,0
128,21,5/2/21,0.15,0
129,3,3/19/17,0.02,0
130,0,,,0
131,14,11/29/21,0.1,0
132,2,6/1/13,0.01,0
133,1,11/20/12,0.01,0
134,35,7/22/22,0.25,0
135,356,9/4/23,2.55,46
136,231,6/29/23,1.65,23
137,0,,,0
138,0,,,0
139,40,10/28/19,0.29,0
140,109,5/1/23,0.82,1
141,397,8/20/23,2.84,66
142,33,5/8/23,0.29,2
143,13,3/14/19,0.1,0
144,110,8/20/23,0.79,16
145,104,4/16/23,0.74,4
146,179,11/6/22,1.28,1
147,1,3/17/14,0.01,0
148,15,8/8/21,0.11,0
149,0,,,0
150,9,10/24/22,0.07,2
151,115,3/30/23,0.82,7
152,432,8/13/23,3.25,36
153,52,1/17/18,0.4,0
154,27,4/9/22,0.21,0
155,2,5/30/16,0.01,0
156,288,8/20/23,2.1,18
157,164,2/15/20,1.19,0
158,103,2/26/23,0.75,2
159,97,7/30/23,0.74,10
160,5,10/10/16,0.04,0
161,33,5/12/23,0.24,3
162,150,5/28/23,1.28,25
163,102,5/24/23,1.22,26
164,121,8/13/23,1.1,8
165,0,,,0
166,184,8/31/23,1.52,29
167,498,9/1/23,3.64,38
168,114,7/11/23,0.85,15
169,530,8/13/23,3.87,29
170,16,12/3/22,0.12,1
171,7,3/21/20,0.05,0
172,54,4/30/23,0.42,9
173,90,4/30/23,0.68,3
174,1,10/7/13,0.01,0
175,193,12/17/22,1.44,7
176,92,9/4/23,0.72,20
177,5,8/31/19,0.04,0
178,96,8/4/23,0.73,3
179,146,5/30/23,1.09,6
180,62,8/19/23,0.46,4
181,28,12/9/19,0.21,0
182,41,8/9/23,0.31,7
183,670,8/27/23,5,64
184,435,9/4/23,3.31,44
185,11,10/14/19,0.14,0
186,37,6/22/22,0.29,0
187,1,3/13/13,0.01,0
188,171,4/2/23,1.29,14
189,25,7/2/23,0.19,2
190,2,3/13/14,0.02,0
191,193,7/29/23,1.49,8
192,16,10/24/22,0.14,2
193,10,5/6/23,0.09,2
194,116,3/27/22,0.91,0
195,177,6/19/23,1.33,11
196,349,5/24/20,2.61,0
197,253,3/13/20,2.1,0
198,417,2/16/20,3.39,0
199,37,10/9/22,0.29,3
200,43,7/10/23,0.34,8
201,12,3/19/18,0.09,0
202,67,2/28/20,0.52,0
203,64,9/30/22,0.48,1
204,0,,,0
205,0,,,0
206,62,4/30/23,0.47,3
207,0,,,0
208,0,,,0
209,142,3/11/20,1.11,0
210,0,,,0
211,254,8/20/23,1.96,28
212,49,5/14/23,0.37,7
213,16,7/30/23,0.13,1
214,866,8/26/23,6.56,77
215,5,3/7/16,0.04,0
216,0,,,0
217,92,6/22/23,0.7,3
218,265,2/27/22,2,0
219,0,,,0
220,129,8/21/23,1.03,13
221,83,3/19/23,0.65,1
222,102,7/31/23,0.8,17
223,21,10/22/22,0.16,1
224,7,3/19/15,0.05,0
225,48,2/29/20,0.36,0
226,51,10/7/22,0.4,1
227,8,3/13/18,0.07,0
228,32,2/28/23,0.24,2
229,300,8/21/23,2.27,19
230,39,9/4/23,2.62,28
231,0,,,0
232,0,,,0
233,19,3/10/23,0.16,1
234,143,7/29/23,1.12,23
235,28,6/4/23,0.27,5
236,91,8/4/23,0.71,17
237,106,4/5/23,0.81,4
238,39,3/16/23,0.31,3
239,142,8/5/23,1.26,9
240,6,6/1/23,0.19,2
241,7,3/13/17,0.06,0
242,147,12/22/21,1.15,0
243,1,3/11/14,0.01,0
244,0,,,0
245,154,9/3/23,1.97,17
246,7,10/22/17,0.07,0
247,2,3/18/13,0.02,0
248,59,8/4/19,0.46,0
249,358,8/15/21,2.75,0
250,101,9/4/23,0.87,11
251,0,,,0
252,3,2/28/16,0.02,0
253,215,9/4/23,1.66,38
254,7,4/28/19,0.11,0
255,61,8/13/23,0.47,6
256,90,8/14/23,0.69,27
257,52,6/15/23,0.41,9
258,53,6/19/23,0.59,4
259,0,,,0
260,226,8/13/23,1.75,23
261,124,7/3/23,0.97,21
262,9,10/26/21,0.08,0
263,5,11/30/22,0.05,1
264,22,8/17/23,0.21,9
265,3,3/14/19,0.02,0
266,167,3/8/20,1.31,0
267,413,8/5/23,3.21,36
268,35,7/10/23,0.36,12
269,304,8/28/23,2.82,50
270,4,5/21/17,0.03,0
271,27,3/17/22,0.21,0
272,87,5/29/23,0.95,25
273,52,11/19/22,0.41,1
274,6,3/14/18,0.05,0
275,0,,,0
276,260,8/13/23,2.04,20
277,86,6/8/23,0.68,20
278,11,9/9/19,0.09,0
279,2,3/18/13,0.02,0
280,149,9/7/22,2.61,0
281,292,8/27/23,2.27,24
282,382,8/24/23,3.3,33
283,0,,,0
284,6,3/23/16,0.05,0
285,0,,,0
286,2,8/30/16,0.02,0
287,10,1/31/21,0.08,0
288,6,3/22/15,0.05,0
289,66,8/7/23,0.52,6
290,9,6/15/23,0.07,2
291,3,3/13/17,0.02,0
292,6,6/19/22,0.05,0
293,41,9/4/17,0.32,0
294,100,5/26/23,0.78,2
295,54,3/28/20,0.42,0
296,7,3/14/19,0.05,0
297,1,7/31/13,0.01,0
298,198,8/22/23,1.63,5
299,22,7/4/23,0.19,8
300,0,,,0
301,58,8/27/23,0.5,15
302,0,,,0
303,1140,8/24/23,8.89,76
304,78,2/28/20,0.61,0
305,239,4/1/23,1.87,4
306,161,4/16/23,1.38,9
307,13,8/14/23,0.1,1
308,14,11/26/22,0.26,2
309,0,,,0
310,336,8/24/23,2.63,104
311,176,5/15/23,1.39,10
312,221,9/3/23,1.75,20
313,9,10/9/16,0.1,0
314,414,11/28/21,3.3,0
315,46,9/5/23,0.36,34
316,28,5/7/23,0.22,5
317,131,9/4/23,1.13,49
318,34,6/18/22,0.31,0
319,10,11/29/22,0.33,3
320,612,9/4/23,4.79,56
321,9,10/17/22,0.16,2
322,1,3/12/13,0.01,0
323,0,,,0
324,10,9/4/23,6.52,10
325,29,5/30/23,0.23,4
326,200,3/9/20,1.73,0
327,355,6/28/23,3.15,31
328,84,5/29/23,0.94,7
329,28,12/4/22,0.24,2
330,89,3/10/20,0.7,0
331,21,5/7/23,0.3,1
332,200,7/30/23,1.65,8
333,66,10/15/17,0.55,0
334,208,10/24/22,1.66,1
335,307,8/13/23,2.52,43
336,6,3/19/22,0.05,0
337,0,,,0
338,6,6/7/23,0.07,2
339,331,9/3/23,2.66,32
340,221,8/16/23,1.8,25
341,191,8/6/23,1.6,11
342,216,8/21/23,1.75,24
343,40,6/27/23,0.44,8
344,170,5/15/22,1.4,0
345,201,6/12/23,1.8,24
346,0,,,0
347,620,8/27/23,5,63
348,9,10/9/17,0.07,0
349,613,8/26/23,4.95,34
350,739,8/20/23,6,57
351,5,7/23/23,0.59,5
352,8,9/4/23,1.07,8
353,9,2/24/22,0.09,0
354,20,6/20/23,0.18,13
355,148,8/31/22,1.21,0
356,0,,,0
357,193,4/21/23,1.58,3
358,181,9/4/23,1.5,18
359,67,5/22/23,0.73,1
360,47,8/13/21,0.39,0
361,202,8/14/23,1.75,13
362,35,3/4/23,0.34,2
363,22,10/30/22,0.2,4
364,326,9/4/23,2.69,17
365,271,7/4/23,2.21,1
366,303,8/24/23,2.79,32
367,0,,,0
368,1,7/31/21,0.04,0
369,74,7/19/23,0.61,6
370,1141,9/3/23,9.49,110
371,181,8/17/23,1.49,22
372,300,3/13/22,2.54,0
373,593,8/31/23,4.86,76
374,13,7/7/23,0.15,2
375,132,9/20/20,1.13,0
376,0,,,0
377,304,8/19/23,2.49,23
378,3,8/16/15,0.03,0
379,242,7/31/23,2.01,21
380,45,3/16/23,0.39,4
381,0,,,0
382,310,9/4/23,2.64,9
383,1,3/12/14,0.01,0
384,234,7/8/23,1.94,15
385,0,,,0
386,73,9/4/23,0.61,3
387,271,9/4/23,2.32,21
388,30,5/28/23,0.3,4
389,270,8/18/23,2.23,26
390,0,,,0
391,90,7/31/23,0.74,9
392,86,8/20/23,0.72,27
393,0,,,0
394,8,10/28/18,0.07,0
395,139,9/3/23,1.2,1
396,254,8/13/23,2.1,21
397,418,9/4/23,3.46,26
398,27,3/16/22,0.23,0
399,179,8/7/23,1.48,7
400,48,3/14/23,0.42,4
401,16,5/24/17,0.19,0
402,205,9/10/23,1.99,36
403,83,7/24/23,0.97,9
404,6,8/23/20,0.05,0
405,50,5/12/23,0.42,1
406,90,7/31/23,0.82,8
407,132,3/12/23,1.1,4
408,252,7/22/23,2.11,39
409,15,4/14/19,0.13,0
410,27,9/4/23,0.29,12
411,0,,,0
412,41,3/14/23,0.34,1
413,44,7/8/23,0.38,1
414,0,,,0
415,35,2/16/16,0.31,0
416,79,6/24/23,0.66,14
417,27,5/8/23,0.22,5
418,10,10/30/15,0.09,0
419,218,8/19/23,1.8,24
420,231,8/21/23,1.92,19
421,256,7/15/23,2.12,23
422,238,3/21/22,2.41,0
423,0,,,0
424,98,7/22/23,0.91,12
425,199,8/27/23,1.66,13
426,2,1/21/14,0.02,0
427,115,8/17/23,0.97,13
428,162,9/7/23,1.39,21
429,24,8/6/18,0.21,0
430,28,8/20/23,0.24,17
431,62,8/27/23,0.54,12
432,7,3/15/16,0.06,0
433,372,8/27/23,3.22,29
434,39,9/4/23,0.34,9
435,0,,,0
436,0,,,0
437,54,8/21/23,0.46,10
438,72,3/19/23,0.94,2
439,39,5/22/22,0.43,0
440,9,10/16/17,0.08,0
441,11,5/8/22,0.1,0
442,0,,,0
443,5,10/10/18,0.06,0
444,130,8/25/23,1.12,17
445,0,,,0
446,455,9/4/23,3.8,42
447,830,8/21/23,6.95,53
448,2,11/14/22,0.02,1
449,142,8/13/23,1.97,15
450,0,,,0
451,40,9/1/23,0.37,9
452,43,7/30/23,0.36,18
453,0,,,0
454,3,10/23/22,0.03,1
455,7,3/18/19,0.07,0
456,54,10/8/18,0.5,0
457,109,7/31/20,0.91,0
458,586,8/27/23,4.96,73
459,159,5/8/23,1.34,1
460,5,7/3/23,0.04,1
461,3,1/5/14,0.03,0
462,103,8/6/23,0.95,12
463,408,9/4/23,3.48,19
464,32,9/4/23,0.44,12
465,5,4/6/19,0.05,0
466,75,5/15/23,0.64,10
467,198,6/1/21,1.71,0
468,19,3/10/23,0.16,4
469,3,10/12/15,0.03,0
470,2,7/22/23,0.92,2
471,122,9/3/23,1.43,33
472,98,4/11/23,0.86,3
473,63,7/31/23,0.61,17
474,2,1/10/16,0.02,0
475,72,2/26/23,0.63,6
476,49,10/8/18,0.44,0
477,18,3/24/19,0.17,0
478,25,7/4/23,0.22,8
479,3,3/11/18,0.03,0
480,1,12/30/18,0.02,0
481,21,7/10/21,0.19,0
482,336,9/4/23,3.09,29
483,0,,,0
484,26,5/19/18,0.22,0
485,1,3/23/15,0.01,0
486,77,7/9/23,0.67,3
487,186,7/31/23,1.69,24
488,187,5/2/23,1.62,17
489,324,8/22/23,2.85,47
490,23,9/2/23,0.2,20
491,2,10/15/14,0.02,0
492,0,,,0
493,178,3/12/20,1.85,0
494,5,3/18/16,0.05,0
495,146,4/24/23,1.26,2
496,1,3/22/16,0.01,0
497,16,8/21/23,1.23,14
498,527,8/17/23,4.52,46
499,776,9/4/23,6.66,70
500,0,,,0
501,75,5/28/23,0.82,16
502,193,8/17/23,1.67,21
503,2,3/17/14,0.02,0
504,52,3/12/20,0.47,0
505,327,8/26/23,2.83,51
506,3,3/14/19,0.03,0
507,6,2/23/23,0.37,3
508,0,,,0
509,0,,,0
510,35,5/12/15,0.3,0
511,12,3/22/16,0.11,0
512,0,,,0
513,0,,,0
514,329,8/18/23,2.85,29
515,23,10/17/21,0.2,0
516,0,,,0
517,0,,,0
518,312,9/4/23,2.7,31
519,53,3/3/23,0.46,1
520,3,3/17/16,0.03,0
521,0,,,0
522,2,2/9/16,0.02,0
523,533,8/18/23,4.59,25
524,0,,,0
525,14,4/29/18,0.13,0
526,9,3/19/16,0.08,0
527,79,11/1/21,0.68,0
528,9,10/12/16,0.09,0
529,0,,,0
530,6,3/19/17,0.05,0
531,133,9/3/23,1.15,5
532,3,3/16/16,0.03,0
533,0,,,0
534,1,3/18/15,0.01,0
535,0,,,0
536,0,,,0
537,14,3/15/23,0.12,1
538,1,3/19/14,0.01,0
539,0,,,0
540,0,,,0
541,0,,,0
542,1,3/12/14,0.01,0
543,0,,,0
544,26,3/17/20,0.29,0
545,0,,,0
546,0,,,0
547,174,4/16/23,1.5,5
548,0,,,0
549,0,,,0
550,249,3/16/20,2.15,0
551,0,,,0
552,19,6/22/15,0.17,0
553,40,9/3/23,0.55,4
554,0,,,0
555,3,3/20/17,0.03,0
556,3,3/18/18,0.03,0
557,19,8/5/23,0.16,3
558,190,8/14/22,1.69,0
559,1,3/10/14,0.01,0
560,0,,,0
561,0,,,0
562,220,6/26/23,1.91,14
563,3,5/7/14,0.03,0
564,17,1/31/22,0.18,0
565,0,,,0
